,episode,step,red_action_success,red_action_type,red_action_src,red_action_dest,blue_action,blue_action_id,blue_action_target,reward
205,2,5,True,portscan,dmz5,server2,deploy_decoy,6d2be8a50def4437b2c1dd06112a5764,dmz_subnet2,-22.0
206,2,6,True,portscan,dmz5,server19,nothing,cc3db6b0b09c46f685026d771d1bb4b7,,-2.0
207,2,7,True,portscan,dmz5,server15,nothing,a266e24375bd48b0b28971fc0ef590a0,,-2.0
208,2,8,True,portscan,dmz5,server17,deploy_decoy,25d1d3e35d874ad3ab9f6fa13eb21425,server_subnet1,-22.0
209,2,9,True,portscan,dmz5,dmz4,deploy_decoy,0eb26c3b0075469ab10ff857b8b7b4fc,user_subnet1,-22.0
210,2,10,True,portscan,dmz5,dmz3,deploy_decoy,9d40306270d24aca8f54ea8b994c951d,subnet3,-22.0
211,2,11,True,portscan,dmz5,server9,deploy_decoy,decoy_limit_exceeded,server_subnet2,-2.0
212,2,12,True,lateral-movement,dmz5,server9,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-10.0
213,2,13,True,discovery,server9,server9,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-5.0
214,2,14,True,portscan,server9,dmz13,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
215,2,15,True,portscan,server9,dmz15,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-2.0
216,2,16,True,lateral-movement,server9,server2,deploy_decoy,decoy_limit_exceeded,user_subnet1,-10.0
217,2,17,True,discovery,server2,server2,deploy_decoy,decoy_limit_exceeded,subnet4,-5.0
218,2,18,True,lateral-movement,server2,server15,deploy_decoy,decoy_limit_exceeded,server_subnet2,-10.0
219,2,19,True,discovery,server15,server15,deploy_decoy,decoy_limit_exceeded,server_subnet1,-5.0
220,2,20,True,portscan,server15,server13,deploy_decoy,decoy_limit_exceeded,server_subnet2,-2.0
221,2,21,True,portscan,server15,server10,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
222,2,22,True,portscan,server15,server4,deploy_decoy,decoy_limit_exceeded,subnet3,-2.0
223,2,23,True,portscan,server15,dmz18,deploy_decoy,decoy_limit_exceeded,subnet3,-2.0
224,2,24,True,portscan,server15,dmz10,deploy_decoy,decoy_limit_exceeded,server_subnet2,-2.0
225,2,25,True,lateral-movement,server15,dmz13,deploy_decoy,decoy_limit_exceeded,user_subnet2,-10.0
226,2,26,True,discovery,dmz13,dmz13,deploy_decoy,decoy_limit_exceeded,user_subnet1,-5.0
227,2,27,True,portscan,dmz13,dmz17,deploy_decoy,decoy_limit_exceeded,server_subnet2,-2.0
228,2,28,True,portscan,dmz13,dmz14,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-2.0
229,2,29,True,portscan,dmz13,dmz7,deploy_decoy,decoy_limit_exceeded,subnet3,-2.0
230,2,30,True,lateral-movement,dmz13,server13,deploy_decoy,decoy_limit_exceeded,server_subnet1,-10.0
231,2,31,True,discovery,server13,server13,deploy_decoy,decoy_limit_exceeded,user_subnet1,-5.0
232,2,32,True,lateral-movement,server13,server19,deploy_decoy,decoy_limit_exceeded,user_subnet2,-10.0
233,2,33,True,discovery,server19,server19,deploy_decoy,decoy_limit_exceeded,user_subnet2,-5.0
234,2,34,True,portscan,server19,server18,nothing,3c6b8852fa984b4aae5a54e6027936c6,,-2.0
235,2,35,True,pingsweep,server19,25d1d3e35d874ad3ab9f6fa13eb21425,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,10.0
236,2,36,True,portscan,server19,dmz16,deploy_decoy,decoy_limit_exceeded,user_subnet1,-2.0
237,2,37,True,pingsweep,server19,dmz47,deploy_decoy,decoy_limit_exceeded,server_subnet1,-1.0
238,2,38,True,portscan,server19,server6,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-2.0
239,2,39,True,portscan,server19,dmz0,deploy_decoy,decoy_limit_exceeded,subnet3,-2.0
240,2,40,True,portscan,server19,dmz41,deploy_decoy,decoy_limit_exceeded,user_subnet1,-2.0
241,2,41,True,lateral-movement,server19,dmz10,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-10.0
242,2,42,True,discovery,dmz10,dmz10,deploy_decoy,decoy_limit_exceeded,user_subnet1,-5.0
243,2,43,True,portscan,dmz10,server12,deploy_decoy,decoy_limit_exceeded,subnet3,-2.0
244,2,44,True,portscan,dmz10,server0,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-2.0
245,2,45,True,lateral-movement,dmz10,server17,deploy_decoy,decoy_limit_exceeded,subnet3,-10.0
246,2,46,True,discovery,server17,server17,deploy_decoy,decoy_limit_exceeded,subnet3,-5.0
247,2,47,True,portscan,server17,dmz44,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-2.0
248,2,48,True,portscan,server17,server11,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
249,2,49,True,portscan,server17,dmz32,nothing,32dd23d158ad4a6f8f948c5c1ac95975,,-2.0
250,2,50,True,portscan,server17,dmz40,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-2.0
251,2,51,True,portscan,server17,dmz8,nothing,869f95f30d944593aa4c2c828449895c,,-2.0
252,2,52,True,portscan,server17,server3,deploy_decoy,decoy_limit_exceeded,server_subnet2,-2.0
253,2,53,True,portscan,server17,dmz36,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
254,2,54,True,portscan,server17,dmz23,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
255,2,55,True,portscan,server17,dmz6,nothing,6b609d77271e41b9a625189c1857277b,,-2.0
256,2,56,True,lateral-movement,server17,dmz12,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-10.0
257,2,57,True,discovery,dmz12,dmz12,deploy_decoy,decoy_limit_exceeded,subnet3,-5.0
